id,title,description,instructions,image_url,total_calories,total_protein,total_fat,total_carbohydrates
88,グリーンカレー,ココナッツミルクをベースに、青唐辛子の辛さとハーブの風味が特徴のタイカレー。,"1. グリーンカレーペーストを油で炒め、香りを出す。\n2. ココナッツミルクを加え、鶏肉やなす、たけのこなどの具材を煮る。ナンプラーで味を整える。",,650,25,45,35
89,タンドリーチキン,鶏肉を、ヨーグルトとスパイスに漬け込んで、オーブンで焼き上げたインド料理。,"1. 鶏肉に、ヨーグルト、カレー粉、ガラムマサラ、すりおろしにんにくなどを混ぜたものに漬け込む。\n2. オーブンでこんがりと焼く。",,380,30,25,8
90,棒棒鶏サラダ,茹で鶏と千切りきゅうりに、風味豊かなごまだれをかけた、さっぱりとしたサラダ。,"1. 鶏むね肉を茹でて冷まし、手で細く裂く。\n2. 千切りきゅうりの上に盛り付け、練りごま、醤油、酢、砂糖などで作ったタレをかける。",,300,25,18,8
91,生春巻き,ライスペーパーで、エビやビーフン、たっぷりの野菜を巻いた、ヘルシーなベトナム料理。,"1. ライスペーパーをぬるま湯で戻す。\n2. サニーレタス、茹でたエビ、ビーフン、ニラなどを乗せて巻く。スイートチリソースでいただく。",,250,10,5,40
92,アヒージョ,オリーブオイルとニンニクで、エビやマッシュルームなどの具材を煮込む、スペインの小皿料理。,"1. 小さな鍋に、オリーブオイル、スライスしたニンニク、鷹の爪を入れて弱火にかける。\n2. 香りが出たら、エビやマッシュルームなどを加え、火が通るまで煮る。",,400,15,35,5
93,キッシュ,パイ生地やタルト生地に、卵、生クリーム、チーズ、そしてベーコンやほうれん草などの具材を加えてオーブンで焼いた、フランスの惣菜タルト。,"1. タルト型に生地を敷く。\n2. 炒めた具材を乗せ、卵、生クリーム、チーズを混ぜたアパレイユを流し込む。\n3. オーブンで焼き色がつくまで焼く。",,550,20,40,25
94,シーザーサラダ,ロメインレタスに、クルトン、パルメザンチーズを乗せ、特製のクリーミーなドレッシングで和えたサラダ。,"1. ロメインレタスを食べやすくちぎる。\n2. ドレッシング（マヨネーズ、ニンニク、アンチョビ、レモン汁など）で和え、クルトンとチーズを散らす。",,350,8,30,12
95,カプレーゼ,スライスしたトマトとモッツァレラチーズを交互に並べ、バジルを飾った、イタリアのシンプルなサラダ。,"1. トマトとモッツァレラチーズを同じ厚さにスライスして交互に並べる。\n2. バジルの葉を飾り、オリーブオイルと塩をかける。",,300,15,25,5
96,ラザニア,板状のパスタと、ミートソース、ホワイトソース、チーズを交互に重ねてオーブンで焼き上げた料理。,"1. ミートソースとホワイトソースを作る。\n2. 耐熱皿に、ソース、ラザニア生地、チーズの順に重ねていく。\n3. オーブンで焼き色がつくまで焼く。",,780,35,45,55
97,ガレット,そば粉の生地を薄くクレープ状に焼き、卵やハム、チーズなどを乗せた、フランス・ブルターニュ地方の郷土料理。,"1. そば粉、水、塩で生地を作る。\n2. フライパンで生地を薄く焼き、中央に具材を乗せ、四方を折りたたむ。",,450,20,25,35
98,フレンチトースト,食パンを、卵、牛乳、砂糖を混ぜた液に浸し、バターで焼き上げた料理。,"1. 卵、牛乳、砂糖を混ぜた液に、食パンをしっかりと浸す。\n2. バターを溶かしたフライパンで、両面をこんがりと焼く。",,480,15,25,45
99,パンケーキ,小麦粉、卵、牛乳などを混ぜた生地を、フライパンで円盤状に焼いた、朝食やデザートの定番。,"1. 小麦粉、ベーキングパウダー、砂糖、卵、牛乳を混ぜて生地を作る。\n2. 熱したフライパンで、両面をきつね色に焼く。バターやメープルシロップを添える。",,420,10,18,55
100,わかめスープ,乾燥わかめを、鶏がらスープやごま油で風味付けした、手軽で美味しい韓国風スープ。,"1. 鍋に、ごま油、醤油、鶏がらスープの素、水を入れて沸かす。\n2. 水で戻したわかめを加え、いりごまを散らす。",,80,3,6,4
